dialogue_id	turn_id	annotations
iris_00001	1	VALID, VALID, VALID, VALID
iris_00001	3	ACCEPTABLE, INVALID, ACCEPTABLE, ACCEPTABLE, VALID, VALID, INVALID
iris_00001	5	ACCEPTABLE, ACCEPTABLE, INVALID, INVALID, ACCEPTABLE, VALID, VALID
iris_00001	7	INVALID, INVALID, ACCEPTABLE, INVALID, INVALID, ACCEPTABLE, INVALID
iris_00001	9	VALID, ACCEPTABLE, VALID, VALID, INVALID, ACCEPTABLE, ACCEPTABLE
iris_00001	11	INVALID, INVALID, ACCEPTABLE, INVALID, INVALID, VALID, ACCEPTABLE
iris_00001	13	VALID, VALID, ACCEPTABLE, VALID, ACCEPTABLE, VALID, VALID
iris_00002	3	INVALID, ACCEPTABLE, ACCEPTABLE, INVALID, ACCEPTABLE, VALID, ACCEPTABLE
iris_00002	5	INVALID, INVALID, INVALID, INVALID, ACCEPTABLE, INVALID, INVALID
iris_00002	7	INVALID, INVALID, ACCEPTABLE, INVALID, INVALID, INVALID, INVALID
iris_00002	9	INVALID, ACCEPTABLE, INVALID, INVALID, INVALID, VALID, ACCEPTABLE
iris_00002	11	VALID, VALID, VALID, ACCEPTABLE, VALID, ACCEPTABLE, ACCEPTABLE
iris_00002	13	VALID, VALID, VALID, VALID, INVALID, ACCEPTABLE, INVALID
iris_00002	15	VALID, VALID, VALID, ACCEPTABLE, ACCEPTABLE, ACCEPTABLE, VALID
iris_00002	17	INVALID, INVALID, ACCEPTABLE, ACCEPTABLE, ACCEPTABLE, VALID, INVALID
iris_00003	1	VALID, VALID, VALID, VALID
iris_00003	3	VALID, VALID, VALID, VALID, VALID, VALID, ACCEPTABLE
iris_00003	5	VALID, VALID, VALID, VALID, VALID, VALID, ACCEPTABLE
iris_00003	7	ACCEPTABLE, VALID, VALID, VALID, VALID, INVALID, VALID
iris_00003	9	VALID, VALID, VALID, VALID, VALID, VALID, VALID
iris_00003	11	ACCEPTABLE, INVALID, ACCEPTABLE, INVALID, INVALID, INVALID, INVALID
iris_00003	13	VALID, VALID, VALID, ACCEPTABLE, VALID, INVALID, INVALID
iris_00003	15	ACCEPTABLE, INVALID, INVALID, INVALID, ACCEPTABLE, INVALID, INVALID
iris_00004	1	VALID, VALID, VALID, VALID
iris_00004	3	INVALID, INVALID, INVALID, INVALID, INVALID, INVALID, INVALID
iris_00004	5	ACCEPTABLE, ACCEPTABLE, ACCEPTABLE, ACCEPTABLE, INVALID, INVALID, INVALID
iris_00004	7	INVALID, INVALID, INVALID, INVALID, INVALID, INVALID, ACCEPTABLE
iris_00004	9	ACCEPTABLE, VALID, ACCEPTABLE, VALID, INVALID, ACCEPTABLE, ACCEPTABLE
iris_00004	11	ACCEPTABLE, VALID, ACCEPTABLE, VALID, ACCEPTABLE, VALID, VALID
iris_00004	13	INVALID, INVALID, INVALID, INVALID, INVALID, INVALID, INVALID
iris_00004	15	VALID, VALID, VALID, ACCEPTABLE, VALID, VALID, ACCEPTABLE
iris_00005	3	VALID, INVALID, VALID, VALID, ACCEPTABLE, ACCEPTABLE, ACCEPTABLE
iris_00005	5	INVALID, INVALID, INVALID, INVALID, ACCEPTABLE, ACCEPTABLE, INVALID
iris_00005	7	INVALID, INVALID, VALID, VALID, INVALID, ACCEPTABLE, ACCEPTABLE
iris_00005	9	VALID, VALID, VALID, VALID, ACCEPTABLE, VALID, ACCEPTABLE
iris_00005	11	VALID, VALID, VALID, VALID, VALID, ACCEPTABLE, VALID
iris_00005	13	VALID, VALID, VALID, VALID, VALID, VALID, VALID
iris_00005	15	VALID, ACCEPTABLE, ACCEPTABLE, ACCEPTABLE, ACCEPTABLE, ACCEPTABLE, ACCEPTABLE
iris_00005	17	VALID, INVALID, VALID, VALID, ACCEPTABLE, INVALID, INVALID
iris_00005	23	ACCEPTABLE, VALID, VALID, VALID, INVALID, INVALID, VALID
iris_00005	25	VALID, VALID, VALID, VALID, ACCEPTABLE, VALID, INVALID
iris_00005	27	VALID, VALID, VALID, VALID
iris_00006	1	VALID, VALID, VALID, VALID
iris_00006	3	ACCEPTABLE, INVALID, ACCEPTABLE, ACCEPTABLE, ACCEPTABLE, ACCEPTABLE, ACCEPTABLE
iris_00006	5	ACCEPTABLE, ACCEPTABLE, ACCEPTABLE, VALID, ACCEPTABLE, VALID, VALID
iris_00006	7	ACCEPTABLE, VALID, INVALID, ACCEPTABLE, INVALID, ACCEPTABLE, VALID
iris_00006	9	ACCEPTABLE, INVALID, ACCEPTABLE, ACCEPTABLE, INVALID, ACCEPTABLE, INVALID
iris_00006	15	INVALID, VALID, ACCEPTABLE, INVALID, ACCEPTABLE, VALID, INVALID
iris_00007	1	VALID, VALID, VALID, VALID
iris_00007	3	ACCEPTABLE, INVALID, INVALID, ACCEPTABLE, INVALID, INVALID, INVALID
iris_00007	5	ACCEPTABLE, INVALID, INVALID, ACCEPTABLE, INVALID, ACCEPTABLE, INVALID
iris_00007	7	ACCEPTABLE, INVALID, VALID, ACCEPTABLE, INVALID, VALID, ACCEPTABLE
iris_00007	9	VALID, VALID, VALID, VALID, VALID, VALID, VALID
iris_00007	11	VALID, VALID, VALID, VALID
iris_00008	1	VALID, VALID, VALID, VALID
iris_00008	7	INVALID, INVALID, INVALID, INVALID, INVALID, INVALID, INVALID
iris_00008	9	INVALID, INVALID, ACCEPTABLE, ACCEPTABLE, INVALID, INVALID, INVALID
iris_00008	11	VALID, VALID, VALID, VALID
iris_00009	1	VALID
iris_00009	3	ACCEPTABLE
iris_00009	5	ACCEPTABLE
iris_00009	7	VALID
iris_00009	9	INVALID
iris_00010	3	VALID
iris_00010	5	VALID
iris_00010	7	VALID
iris_00010	9	VALID
iris_00010	11	VALID
iris_00010	13	VALID
iris_00011	1	VALID
iris_00011	3	VALID
iris_00011	9	VALID
iris_00011	11	INVALID
iris_00011	13	ACCEPTABLE
iris_00011	15	VALID
iris_00012	1	VALID
iris_00012	3	VALID
iris_00012	5	ACCEPTABLE
iris_00012	7	VALID
iris_00012	13	ACCEPTABLE
iris_00012	15	ACCEPTABLE
iris_00012	17	VALID
iris_00013	1	VALID
iris_00013	3	VALID
iris_00013	5	VALID
iris_00013	7	ACCEPTABLE
iris_00013	9	VALID
iris_00014	3	VALID
iris_00014	5	VALID
iris_00014	7	ACCEPTABLE
iris_00014	9	ACCEPTABLE
iris_00014	11	VALID
iris_00014	13	INVALID
iris_00014	15	INVALID
iris_00014	17	INVALID
iris_00014	23	ACCEPTABLE
iris_00014	25	VALID
iris_00014	27	VALID
iris_00014	29	VALID
iris_00015	1	VALID
iris_00015	3	INVALID
iris_00015	5	INVALID
iris_00015	7	INVALID
iris_00015	13	ACCEPTABLE
iris_00015	15	VALID
iris_00015	17	ACCEPTABLE
iris_00015	19	VALID
iris_00015	21	VALID
iris_00015	23	INVALID
iris_00015	25	INVALID
iris_00015	27	VALID
iris_00015	33	INVALID
iris_00015	35	ACCEPTABLE
iris_00015	37	INVALID
iris_00015	39	VALID
iris_00015	41	VALID
iris_00016	1	VALID
iris_00016	3	VALID
iris_00016	5	ACCEPTABLE
iris_00016	11	ACCEPTABLE
iris_00016	13	VALID
iris_00016	15	INVALID
iris_00016	17	INVALID
iris_00016	19	ACCEPTABLE
iris_00016	21	INVALID
iris_00016	23	VALID
iris_00016	25	VALID
iris_00017	3	VALID, VALID
iris_00017	5	ACCEPTABLE, ACCEPTABLE
iris_00017	7	VALID, ACCEPTABLE
iris_00017	9	VALID, VALID
iris_00017	11	ACCEPTABLE, ACCEPTABLE
iris_00017	13	VALID, ACCEPTABLE
iris_00017	15	VALID, VALID
iris_00018	1	VALID, VALID
iris_00018	7	INVALID, ACCEPTABLE
iris_00018	9	VALID, ACCEPTABLE
iris_00018	11	VALID, INVALID
iris_00018	13	ACCEPTABLE, ACCEPTABLE
iris_00018	15	VALID, VALID
iris_00018	17	VALID, ACCEPTABLE
iris_00018	19	VALID, INVALID
iris_00018	21	ACCEPTABLE, ACCEPTABLE
iris_00018	27	VALID, ACCEPTABLE
iris_00018	29	VALID, INVALID
iris_00018	31	VALID, ACCEPTABLE
iris_00018	33	VALID, ACCEPTABLE
iris_00018	35	VALID, ACCEPTABLE
iris_00018	37	VALID, ACCEPTABLE
iris_00018	39	VALID, ACCEPTABLE
